Minute,Util_M1-,Util_PT
757,6,728
758,5,725
759,7,729
760,8,730
761,9,747
762,8,739
763,7,747
764,6,750
765,6,760
766,6,749
767,6,761
768,5,744
769,5,739
770,4,748
771,4,746
772,4,752
773,5,771
774,6,766
775,6,775
776,6,784
777,6,791
778,6,800
779,6,788
780,6,809
781,6,815
782,6,824
783,6,833
784,6,831
785,6,842
786,7,832
787,8,834
788,8,832
789,8,823
790,8,824
791,7,821
792,6,827
793,5,826
794,5,832
795,4,831
796,4,823
797,5,808
798,4,819
799,3,816
800,3,823
801,2,827
802,2,810
803,3,800
804,3,801
805,3,801
806,3,796
807,3,802
808,5,816
809,6,822
810,5,828
811,5,835
812,5,845
813,5,831
814,6,850
815,6,886
816,6,898
817,6,918
818,6,910
819,6,908
820,7,933
821,7,936
822,8,921
823,9,922
824,10,936
825,11,942
826,11,929
827,8,927
828,9,955
829,9,923
830,9,938
831,9,939
832,10,931
833,9,934
834,9,917
835,8,925
836,8,926
837,6,943
838,8,972
839,9,978
840,10,987
841,9,988
842,9,991
843,8,1000
844,7,984
845,6,988
846,6,997
847,7,993
848,7,1003
849,6,1015
850,6,1027
851,6,1043
852,6,1052
853,6,1041
854,6,1043
855,7,1065
856,6,1053
857,5,1063
858,6,1063
859,6,1050
860,6,1058
861,6,1049
862,5,1021
863,5,1050
864,7,1034
865,8,1047
866,8,1040
867,9,1058
868,9,1085
869,9,1093
870,7,1104
871,5,1108
872,5,1125
873,6,1120
874,5,1151
875,4,1185
876,4,1179
877,4,1190
878,5,1213
879,6,1205
880,7,1224
881,7,1223
882,6,1223
883,7,1234
884,7,1248
885,7,1230
886,7,1233
887,7,1253
888,7,1262
889,7,1267
890,7,1300
891,7,1302
892,7,1323
893,7,1322
894,7,1326
895,6,1338
896,7,1362
897,7,1354
898,6,1353
899,6,1362
900,8,1370
901,8,1359
902,8,1380
903,7,1390
904,7,1399
905,7,1429
906,5,1425
907,5,1429
908,4,1421
909,4,1430
910,4,1454
911,4,1477
912,5,1497
913,5,1500
914,5,1508
915,6,1525
916,5,1504
917,4,1514
918,4,1507
919,4,1511
920,3,1520
921,3,1509
922,3,1498
923,4,1503
924,4,1521
925,4,1535
926,5,1527
927,5,1536
928,4,1543
929,3,1544
930,3,1554
931,3,1569
932,3,1570
933,4,1605
934,4,1604
935,3,1621
936,4,1635
937,3,1652
938,4,1667
939,7,1683
940,11,1707
941,10,1731
942,11,1757
943,10,1776
944,10,1804
945,10,1812
946,7,1793
947,7,1800
948,9,1793
949,9,1812
950,9,1807
951,8,1819
952,8,1817
953,7,1820
954,8,1794
955,8,1792
956,8,1807
957,8,1797
958,7,1789
959,9,1770
960,7,1778
961,7,1801
962,7,1795
963,8,1804
964,8,1792
965,10,1808
966,10,1802
967,10,1789
968,10,1781
969,7,1780
970,6,1788
971,7,1785
972,7,1776
973,6,1776
974,7,1756
975,6,1787
976,7,1745
977,7,1735
978,9,1727
979,11,1750
980,12,1757
981,12,1745
982,12,1742
983,11,1760
984,11,1749
985,11,1775
986,11,1760
987,12,1759
988,12,1775
989,14,1749
990,12,1785
991,12,1797
992,13,1785
993,14,1785
994,16,1783
995,16,1799
996,16,1798
997,15,1828
998,14,1830
999,14,1822
1000,10,1837
1001,8,1842
1002,8,1858
1003,7,1865
1004,7,1852
1005,7,1880
1006,7,1853
1007,7,1849
1008,6,1844
1009,7,1848
1010,7,1840
1011,8,1832
1012,8,1827
1013,7,1851
1014,7,1827
1015,8,1871
1016,8,1878
1017,7,1872
1018,6,1882
1019,7,1882
1020,7,1905
1021,5,1897
1022,7,1888
1023,7,1872
1024,9,1887
1025,9,1886
1026,10,1888
1027,10,1877
1028,8,1890
1029,7,1885
1030,7,1896
1031,6,1873
1032,6,1884
1033,4,1849
1034,4,1849
1035,5,1865
1036,5,1844
1037,6,1826
1038,6,1809
1039,6,1786
1040,5,1798
1041,5,1799
1042,5,1778
1043,5,1788
1044,5,1743
1045,6,1738
1046,6,1729
1047,7,1707
1048,6,1712
1049,6,1684
1050,6,1679
1051,7,1691
1052,6,1691
1053,6,1706
1054,7,1710
1055,6,1727
1056,6,1736
1057,8,1711
1058,8,1724
1059,9,1716
1060,10,1727
1061,12,1747
1062,12,1749
1063,13,1744
1064,14,1732
1065,15,1748
1066,15,1719
1067,14,1684
1068,12,1706
1069,12,1694
1070,10,1689
1071,10,1667
1072,10,1667
1073,8,1644
1074,9,1622
1075,10,1649
1076,10,1658
1077,10,1624
